"","NYA.Open","NYA.High","NYA.Low","NYA.Close","NYA.Volume","NYA.Adjusted"
"2018-12-01",12609.700195,12624.75,10724.19043,11374.389648,78342100000,11374.389648
"2019-01-01",11238.769531,12315.139648,11169.459961,12299.030273,80399630000,12299.030273
"2019-02-01",12312.259766,12769.639648,12186.660156,12644.80957,70183430000,12644.80957
"2019-03-01",12698.230469,12854.820313,12336.490234,12696.879883,78596280000,12696.879883
"2019-04-01",12775.839844,13067.030273,12773.530273,13060.650391,69604840000,13060.650391
"2019-05-01",13066.080078,13069.089844,12238.400391,12264.490234,76860120000,12264.490234
"2019-06-01",12288.509766,13095.570313,12273.089844,13049.709961,70904280000,13049.709961
"2019-07-01",13049.709961,13255.129883,12979.370117,13066.599609,70349470000,13066.599609
"2019-08-01",13053.660156,13154.379883,12325.929688,12736.879883,79599440000,12736.879883
"2019-09-01",12720.19043,13177.879883,12600.709961,13004.740234,73992330000,13004.740234
"2019-10-01",13002.330078,13248.650391,12482.019531,13171.80957,77564550000,13171.80957
"2019-11-01",13231.179688,13611.490234,13231.179688,13545.209961,72179920000,13545.209961
"2019-12-01",13554.290039,13978.610352,13280.040039,13913.030273,7.2054e+10,13913.030273
"2020-01-01",13913.030273,14183.259766,13573.040039,13614.099609,77104420000,13614.099609
"2020-02-01",13655.889648,14148.240234,12024.450195,12380.969727,84292270000,12380.969727
"2020-03-01",12441.429688,13015.660156,8664.94043,10301.870117,161801100000,10301.870117
"2020-04-01",9917.30957,11675.299805,9766.799805,11372.339844,123163450000,11372.339844
"2020-05-01",11158.870117,11939.740234,10551.549805,11802.950195,106799100000,11802.950195
"2020-06-01",11799.919922,12836.679688,11525.360352,11893.780273,1.31044e+11,11893.780273
"2020-07-01",11907.830078,12688.69043,11831.040039,12465.049805,97197020000,12465.049805
"2020-08-01",12513.209961,13173.969727,12470.469727,13045.599609,84402300000,13045.599609
"2020-09-01",13032.040039,13299.730469,12228.969727,12701.889648,92084120000,12701.889648
"2020-10-01",12759.660156,13350.589844,12293.75,12429.330078,89737600000,12429.330078
"2020-11-01",12573.339844,14271.089844,12535.929688,14006.459961,100977880000,14006.459961
"2020-12-01",14183.450195,14533.209961,14076.709961,14524.799805,96056410000,14524.799805
"2021-01-01",14601.450195,15129.120117,14258.25,14397.200195,105548790000,14397.200195
"2021-02-01",14397.200195,15566.469727,14397.200195,15010.469727,98596960000,15010.469727
"2021-03-01",15010.469727,15797.94043,14765.549805,15601.740234,120863560000,15601.740234
"2021-04-01",15601.740234,16413.279297,15601.740234,16219.330078,82869290000,16219.330078
"2021-05-01",16219.330078,16685.890625,16030.299805,16555.660156,75155370000,16555.660156
"2021-06-01",16555.660156,16726.949219,16142.5,16573.720703,78967740000,16573.720703
"2021-07-01",NA,NA,NA,NA,NA,NA
